도로종류,가해자차량용도대분류,가해자차량용도중분류,가해자차량용도,사고건수,사망자수,중상자수,경상자수,부상신고자수
시도,사업용,노선버스,시내버스,1901,20,701,1910,256
시도,사업용,노선버스,시외버스,182,2,59,223,24
시도,사업용,노선버스,고속버스,29,0,11,40,7
시도,사업용,전세버스,전세버스,416,11,119,532,25
시도,사업용,특수여객(장의),특수여객(장의),3,0,1,3,0
시도,사업용,택시,법인택시,2967,19,854,3393,242
시도,사업용,택시,개인택시,1749,16,616,1846,137
시도,사업용,화물차,화물차,2004,45,668,2171,148
시도,사업용,렌터카,렌터카,3043,33,910,3693,284
시도,사업용,위험물운송,위험물운송,8,0,1,10,0
시도,사업용,콘크리트믹서,콘크리트믹서,3,0,0,3,0
시도,사업용,덤프트럭,덤프트럭,16,0,5,16,0
시도,사업용,기타/건설기계,기타/건설기계,724,22,222,814,44
시도,비사업용,승용차,승용차,43058,411,13292,48772,3267
시도,비사업용,버스,버스,704,16,249,796,73
시도,비사업용,어린이통학버스,어린이통학버스,187,2,60,183,11
시도,비사업용,화물차,화물차,7363,154,2575,7820,535
시도,비사업용,위험물운송,위험물운송,1,0,1,0,0
시도,비사업용,콘크리트믹서,콘크리트믹서,3,0,1,2,0
시도,비사업용,덤프트럭,덤프트럭,1,0,0,1,0
시도,비사업용,기타/건설기계,기타/건설기계,944,16,319,1083,101
시도,이륜차,이륜차,이륜차,5715,128,1931,4331,1068
시도,사륜오토바이(ATV),사륜오토바이(ATV),사륜오토바이(ATV),73,7,31,39,10
시도,원동기장치자전거,원동기장치자전거,원동기장치자전거,642,17,213,456,109
시도,자전거,자전거,자전거,1542,29,443,822,341
시도,개인형이동수단(PM),개인형이동수단(PM),개인형이동수단(PM),125,4,35,71,22
시도,농기계,농기계,농기계,106,13,36,75,8
시도,기타,기타,기타,51,0,17,36,7
시도,불명,불명,불명,979,0,154,659,250
군도,사업용,노선버스,마을버스,11,1,7,9,0
군도,사업용,노선버스,시내버스,60,1,33,62,6
군도,사업용,노선버스,시외버스,29,3,13,45,2
군도,사업용,노선버스,고속버스,3,0,1,3,0
군도,사업용,전세버스,전세버스,28,0,30,49,6
군도,사업용,택시,법인택시,89,0,35,89,3
군도,사업용,택시,개인택시,74,1,26,87,7
군도,사업용,화물차,화물차,178,3,89,169,9
군도,사업용,렌터카,렌터카,203,3,92,246,19
군도,사업용,콘크리트믹서,콘크리트믹서,1,0,1,0,0
군도,사업용,덤프트럭,덤프트럭,1,1,0,0,0
군도,사업용,기타/건설기계,기타/건설기계,93,4,50,98,4
군도,비사업용,승용차,승용차,4155,95,1818,4173,308
군도,비사업용,버스,버스,73,4,51,65,7
군도,비사업용,어린이통학버스,어린이통학버스,7,0,1,7,1
군도,비사업용,화물차,화물차,1547,70,725,1380,75
군도,비사업용,위험물운송,위험물운송,1,0,0,1,0
군도,비사업용,기타/건설기계,기타/건설기계,102,4,51,87,11
군도,이륜차,이륜차,이륜차,707,31,272,465,92
군도,사륜오토바이(ATV),사륜오토바이(ATV),사륜오토바이(ATV),57,8,20,31,3
군도,원동기장치자전거,원동기장치자전거,원동기장치자전거,102,5,45,56,19
군도,자전거,자전거,자전거,172,6,59,94,24
군도,개인형이동수단(PM),개인형이동수단(PM),개인형이동수단(PM),4,1,1,2,0
군도,농기계,농기계,농기계,123,17,39,77,18
군도,기타,기타,기타,13,0,5,9,3
군도,불명,불명,불명,48,0,14,23,12
고속국도,사업용,노선버스,시내버스,9,0,2,17,2
고속국도,사업용,노선버스,시외버스,36,5,46,141,30
고속국도,사업용,노선버스,고속버스,31,0,33,102,18
고속국도,사업용,전세버스,전세버스,80,1,74,256,50
고속국도,사업용,택시,법인택시,55,3,23,89,10
고속국도,사업용,택시,개인택시,24,2,15,33,7
고속국도,사업용,화물차,화물차,670,62,310,842,88
고속국도,사업용,렌터카,렌터카,315,5,112,507,100
고속국도,사업용,위험물운송,위험물운송,6,1,3,3,1
고속국도,사업용,콘크리트믹서,콘크리트믹서,1,0,1,1,0
고속국도,사업용,덤프트럭,덤프트럭,4,1,1,1,2
고속국도,사업용,기타/건설기계,기타/건설기계,63,4,31,67,21
고속국도,비사업용,승용차,승용차,2226,76,843,3690,505
고속국도,비사업용,버스,버스,60,1,36,99,14
고속국도,비사업용,어린이통학버스,어린이통학버스,2,0,0,1,2
고속국도,비사업용,화물차,화물차,469,44,184,696,99
고속국도,비사업용,기타/건설기계,기타/건설기계,31,0,20,75,13
고속국도,이륜차,이륜차,이륜차,1,0,0,0,2
고속국도,기타,기타,기타,1,1,0,0,0
고속국도,불명,불명,불명,139,0,34,136,33
기타,사업용,노선버스,마을버스,67,1,32,76,6
기타,사업용,노선버스,시내버스,212,3,73,214,19
기타,사업용,노선버스,시외버스,47,1,13,53,4
기타,사업용,노선버스,고속버스,9,0,2,18,2
기타,사업용,전세버스,전세버스,65,0,21,74,1
기타,사업용,택시,법인택시,428,1,104,461,39
기타,사업용,택시,개인택시,243,2,88,238,26
기타,사업용,화물차,화물차,379,4,119,359,23
기타,사업용,렌터카,렌터카,572,1,160,626,49
기타,사업용,위험물운송,위험물운송,5,0,1,5,1
기타,사업용,덤프트럭,덤프트럭,2,0,0,3,0
기타,사업용,기타/건설기계,기타/건설기계,127,3,44,119,8
기타,비사업용,승용차,승용차,7347,60,2106,7563,573
기타,비사업용,버스,버스,142,0,61,131,7
기타,비사업용,어린이통학버스,어린이통학버스,37,0,10,31,0
기타,비사업용,화물차,화물차,1469,41,539,1292,86
기타,비사업용,위험물운송,위험물운송,1,0,0,1,0
기타,비사업용,기타/건설기계,기타/건설기계,212,4,68,196,10
기타,이륜차,이륜차,이륜차,1014,27,299,756,183
기타,사륜오토바이(ATV),사륜오토바이(ATV),사륜오토바이(ATV),41,9,14,18,2
기타,원동기장치자전거,원동기장치자전거,원동기장치자전거,124,4,35,65,32
기타,자전거,자전거,자전거,790,12,239,449,184
기타,개인형이동수단(PM),개인형이동수단(PM),개인형이동수단(PM),48,0,19,26,8
기타,농기계,농기계,농기계,92,19,45,49,8
기타,기타,기타,기타,19,0,10,12,2
기타,불명,불명,불명,295,0,46,173,85
